Model,F1 Score,Precision,Recall
Rule-based,0.054085215659556624,0.3346303501945525,0.029420149381378644
Logistic Regression,0.7938184875446068,0.8030995996831473,0.8166599759132879
Random Forest,0.6599746809954835,0.792963895445926,0.6328783621035728
Svm,0.7653335690860549,0.8134266675382653,0.7486685400776127
Svm Fast,0.6651466053029174,0.7477093624500185,0.6378295196039074
Gradient Boosting,0.7728566003512541,0.8013414624871134,0.8092867656898167
Naive Bayes,0.7495209343598953,0.7591531565966656,0.7425264284758464
